ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE,TDI_ANOS_FINAIS,MEDIA_ALUNOS_TURMA_ANOS_FINAIS,PERC_ESCOLAS_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_ALTA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_ALTA_REGULARIDADE_DOCENTE,TAXA_ABANDONO_ANOS_FINAIS
2023,3130903,Inhapim,530,4.9723,6.8,19.9,3.3,46.7,40.0,10.0,0.5
2023,3130804,Ingaí,96,5.0537,29.9,22.8,0.0,50.0,50.0,0.0,4.5
2023,3130705,Indianópolis,156,5.2831,23.2,20.4,0.0,16.7,83.3,0.0,0.0
2023,3130655,Indaiabira,233,4.3425,3.0,18.5,25.0,58.3,16.7,0.0,0.3
2023,3130606,Inconfidentes,256,5.2996,10.2,29.5,16.7,16.7,66.6,0.0,1.7
2023,3130556,Imbé de Minas,163,4.9184,9.3,23.6,20.0,50.0,30.0,0.0,1.9
2023,3130507,Ilicínea,389,5.1167,5.9,23.2,0.0,25.0,75.0,0.0,1.5
2023,3130408,Ijaci,217,5.2119,7.1,29.5,0.0,66.7,33.3,0.0,1.9
2023,3130309,Iguatama,159,5.1564,8.9,31.4,20.0,60.0,20.0,0.0,5.2
2023,3130200,Igaratinga,281,5.1782,8.8,26.9,0.0,75.0,25.0,0.0,2.9
2023,3130101,Igarapé,1494,5.2493,14.4,30.6,8.3,62.5,29.2,0.0,1.4
2023,3130051,Icaraí de Minas,334,4.3288,8.6,22.1,5.6,33.3,33.3,27.8,2.2
2023,3130002,Ibituruna,71,4.9276,10.7,30.5,0.0,0.0,100.0,0.0,0.8
2023,3129905,Ibitiúra de Minas,104,5.1384,3.4,22.3,0.0,33.3,66.7,0.0,0.6
2023,3129806,Ibirité,4301,5.2122,9.7,28.3,0.0,22.6,73.6,3.8,1.7
2023,3129707,Ibiraci,359,5.3474,6.7,30.8,0.0,42.9,57.1,0.0,2.9
2023,3129608,Ibiaí,222,4.4953,13.1,23.0,0.0,55.6,33.3,11.1,3.0
2023,3129509,Ibiá,410,5.2026,20.6,21.9,0.0,5.9,76.5,17.6,7.4
2023,3129301,Iapu,282,4.9837,10.4,24.8,12.5,25.0,50.0,12.5,0.0
2023,3129202,Heliodora,201,5.1632,16.3,28.6,0.0,0.0,100.0,0.0,2.4
2023,3129103,Gurinhatã,100,5.127,12.8,19.5,0.0,16.7,83.3,0.0,2.3
2023,3128907,Guimarânia,210,5.0717,12.9,26.3,0.0,0.0,83.3,16.7,1.9
2023,3128808,Guidoval,216,4.9996,12.4,29.5,25.0,0.0,75.0,0.0,1.7
2023,3128709,Guaxupé,1094,5.1398,13.2,29.6,4.8,19.0,47.6,28.6,2.3
2023,3128600,Guarda-Mor,221,5.1184,11.8,25.5,16.7,0.0,66.7,16.6,2.6
2023,3128501,Guarará,128,5.1643,26.2,24.4,0.0,66.7,33.3,0.0,0.0
2023,3128402,Guarani,236,4.908,12.7,32.1,0.0,20.0,80.0,0.0,1.1
2023,3128303,Guaranésia,461,5.1897,13.6,24.9,10.0,10.0,50.0,30.0,0.3
2023,3128253,Guaraciama,179,4.6177,4.8,30.1,0.0,33.3,66.7,0.0,0.4
2023,3128105,Guapé,381,5.1679,7.9,27.0,11.1,44.4,44.5,0.0,4.7
2023,3128006,Guanhães,808,4.9246,7.0,24.8,6.3,31.3,62.4,0.0,1.9
2023,3127909,Grupiara,38,5.0608,4.5,22.0,0.0,0.0,50.0,50.0,0.0
2023,3127800,Grão Mogol,456,4.498,8.0,25.4,5.3,21.1,47.4,26.2,1.5
