ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3172202,Wenceslau Braz,91,5.2044
2023,3160108,Santo Antônio do Grama,114,4.9081
2023,3139805,Mar de Espanha,304,5.1877
2023,3153301,Presidente Kubitschek,147,4.5184
2023,3157609,Santa Fé de Minas,102,4.6057
2023,3145505,Olímpio Noronha,75,4.948
2023,3154804,Rio Acima,207,5.1123
2023,3171600,Virgem da Lapa,294,4.6838
2023,3145372,Novorizonte,112,4.4943
2023,3139250,Mamonas,168,4.634
2023,3145877,Orizânia,166,4.7651
2023,3141801,Minas Novas,807,4.5717
2023,3137106,Lagamar,163,5.0097
2023,3156502,Rubelita,186,4.2184
2023,3137502,Lagoa Formosa,499,5.2978
2023,3171808,Virginópolis,299,5.0514
2023,3156304,Rodeiro,253,5.0568
2023,3141306,Medeiros,102,5.1718
2023,3142007,Mirabela,377,4.5272
2023,3156106,Ritápolis,133,5.1425
2023,3141900,Minduri,126,5.0502
2023,3146206,Ouro Verde de Minas,230,4.5523
2023,3146008,Ouro Fino,656,5.2584
2023,3156809,Sabinópolis,425,4.5663
2023,3156403,Romaria,98,5.5055
2023,3156007,Rio Vermelho,297,4.2624
2023,3156908,Sacramento,653,5.2472
2023,3154408,Ressaquinha,133,5.1202
2023,3172004,Visconde do Rio Branco,994,5.1163
2023,3142254,Miravânia,137,4.4614
2023,3154903,Rio Casca,321,4.9539
2023,3142304,Moeda,172,5.1245
2023,3141504,Mendes Pimentel,139,4.9093
2023,3155504,Rio Paranaíba,347,5.187
2023,3159605,Santa Rita do Sapucaí,959,5.3245
2023,3138351,Leme do Prado,151,4.7774
2023,3142809,Monte Alegre de Minas,414,5.1215
2023,3157005,Salinas,1204,4.6417
2023,3142403,Moema,195,5.3103
2023,3159704,Santa Rosa da Serra,112,5.0194
2023,3154150,Reduto,206,4.9313
2023,3154507,Riacho dos Machados,277,4.6156
2023,3138401,Leopoldina,1159,4.881
2023,3147006,Paracatu,2469,5.0721
2023,3170651,Vargem Grande do Rio Pardo,144,4.6917
2023,3158409,Santana de Cataguases,110,4.9913
2023,3141108,Matozinhos,967,5.1231
2023,3142601,Monsenhor Paulo,267,5.1606
2023,3170800,Várzea da Palma,897,4.8114
2023,3158953,Santana do Paraíso,819,5.1192
2023,3141207,Matutina,105,5.0654
2023,3145208,Nova Serrana,3497,5.0336
2023,3145109,Nova Resende,495,5.2791
2023,3171154,Vermelho Novo,213,4.8277
2023,3171030,Verdelândia,280,4.3369
2023,3158607,Santana do Deserto,111,4.9376
2023,3153806,Queluzito,46,4.9916
2023,3170750,Varjão de Minas,271,5.0725
2023,3159001,Santana do Riacho,167,5.112
2023,3153905,Raposos,408,5.362
2023,3171006,Vazante,539,5.2932
2023,3153509,Alto Jequitibá,182,4.9792
2023,3158003,Santa Maria de Itabira,339,4.9098
2023,3137809,Lambari,561,5.2346
2023,3159209,Santa Rita de Caldas,183,5.3139
2023,3159308,Santa Rita de Jacutinga,137,5.2208
2023,3147402,Paraopeba,698,5.0252
2023,3139508,Manhumirim,487,4.8624
2023,3147501,Passabém,57,5.1161
2023,3159357,Santa Rita de Minas,201,4.9338
2023,3142106,Miradouro,236,4.9499
2023,3141009,Mato Verde,349,4.6469
2023,3160009,Santo Antônio do Aventureiro,109,4.7776
2023,3152709,Prados,223,5.1425
2023,3145000,Nova Ponte,529,5.2243
2023,3157708,Santa Juliana,416,5.1929
2023,3157906,Santa Margarida,462,4.8191
2023,3170206,Uberlândia,16415,5.3583
2023,3146909,Papagaios,417,4.7952
2023,3139201,Malacacheta,565,4.5526
2023,3139102,Madre de Deus de Minas,135,5.228
2023,3146503,Pains,209,5.1941
2023,3160207,Santo Antônio do Itambé,151,4.2466
2023,3154705,Ribeirão Vermelho,96,5.189
2023,3149952,Periquito,217,5.067
2023,3153400,Presidente Olegário,447,5.0931
2023,3169901,Ubá,2484,5.111
2023,3160702,Santos Dumont,955,5.1042
2023,3157252,Santa Bárbara do Leste,223,4.8788
2023,3150158,Piedade de Caratinga,329,4.9892
2023,3143203,Monte Santo de Minas,529,5.1166
2023,3140506,Martinho Campos,469,5.1548
2023,3150109,Piau,63,4.8397
2023,3152303,Porto Firme,246,4.8203
2023,3164902,São Sebastião do Rio Verde,81,5.378
2023,3150000,Pescador,112,4.847
2023,3150604,Piracema,149,4.9751
2023,3152170,Ponto dos Volantes,440,4.4326
2023,3137601,Lagoa Santa,1552,5.3848
2023,3168606,Teófilo Otoni,3570,4.8433
2023,3138708,Luminárias,146,5.247
2023,3165560,Sem-Peixe,72,4.6693
2023,3166907,Serrania,239,4.946
2023,3165602,Senador Cortes,64,5.0761
2023,3169109,Toledo,226,5.2144
2023,3169059,Tocos do Moji,125,5.3852
2023,3148756,Pedra Bonita,231,4.8435
2023,3162609,São João do Oriente,241,4.9859
2023,3150570,Pintópolis,279,4.4237
2023,3166204,Senhora dos Remédios,265,4.7872
2023,3162450,São João das Missões,147,4.3759
2023,3166402,Seritinga,65,4.9917
2023,3151503,Piumhi,802,5.0927
2023,3162948,São José da Barra,236,5.3196
2023,3151107,Pirapetinga,225,4.9338
2023,3148400,Paulistas,171,4.5705
2023,3162104,São Gotardo,1111,5.0144
2023,3144375,Natalândia,126,4.7508
2023,3162559,São João do Manhuaçu,304,4.9911
2023,3162401,São João da Ponte,724,4.2998
2023,3140704,Mateus Leme,995,5.1801
2023,3161809,São Gonçalo do Pará,326,5.1368
2023,3167806,Soledade de Minas,159,5.1647
2023,3138658,Lontra,295,4.7063
2023,3138674,Luisburgo,189,4.9143
2023,3149002,Pedra Dourada,108,4.8827
2023,3162203,São João Batista do Glória,206,5.3151
2023,3164001,São Pedro dos Ferros,207,4.7008
2023,3162005,São Gonçalo do Sapucaí,690,5.0811
2023,3149200,Pedrinópolis,94,5.3945
2023,3137304,Lagoa dos Patos,120,4.6428
2023,3165701,Senador Firmino,258,5.0085
2023,3164506,São Sebastião do Maranhão,270,4.4989
2023,3169505,Tumiritinga,186,4.8393
2023,3164472,São Sebastião do Anta,179,4.866
2023,3164308,São Roque de Minas,181,5.1375
2023,3164431,São Sebastião da Vargem Alegre,97,5.0146
2023,3148103,Patrocínio,2487,5.2067
2023,3161205,São Francisco de Paula,166,4.9923
2023,3163706,São Lourenço,1015,5.1874
2023,3149507,Pequeri,87,5.1209
2023,3163904,São Pedro da União,167,5.1018
2023,3163607,São José do Mantimento,79,5.0242
2023,3163805,São Miguel do Anta,213,4.7515
2023,3151305,Piraúba,313,4.9688
2023,3167301,Silveirânia,79,5.0075
2023,3163300,São José do Divino,127,4.8428
2023,3163102,São José da Varginha,116,5.0091
2023,3162906,São João Nepomuceno,473,5.0197
2023,3137908,Lamim,102,4.8081
2023,3167707,Sobrália,117,5.0215
2023,3162807,São João Evangelista,621,4.8669
2023,3151404,Pitangui,728,5.1417
2023,3148806,Pedra do Anta,82,4.6281
2023,3137536,Lagoa Grande,261,4.9958
2023,3162575,São João do Manteninha,126,5.0239
2023,3140100,Marilac,138,4.7697
2023,3151206,Pirapora,1503,4.9553
2023,3151008,Piranguinho,270,5.1814
2023,3140555,Mata Verde,296,4.463
2023,3167004,Serranos,55,4.8021
2023,3148707,Pedra Azul,662,4.6069
2023,3166956,Serranópolis de Minas,131,4.4006
2023,3144300,Nanuque,903,4.822
2023,3168309,Taquaraçu de Minas,115,5.0799
2023,3150703,Pirajuba,209,5.0827
2023,3166600,Serra da Saudade,14,5.3971
2023,3162922,São Joaquim de Bicas,977,5.1054
2023,3144359,Naque,238,5.0145
2023,3144508,Nazareno,253,4.9512
2023,3151701,Poço Fundo,365,5.2086
2023,3148608,Peçanha,359,4.4343
2023,3140803,Matias Barbosa,314,5.1003
2023,3168903,Tiros,219,5.3351
2023,3169000,Tocantins,363,5.0114
2023,3165909,Senador Modestino Gonçalves,143,4.2807
2023,3168002,Taiobeiras,1106,4.7663
2023,3150539,Pingo-d'Água,172,4.9033
2023,3165578,Senador Amaral,241,5.0099
2023,3152105,Ponte Nova,1069,5.0574
2023,3150307,Piedade do Rio Grande,120,4.838
2023,3165537,Sarzedo,1160,5.3907
2023,3168705,Timóteo,1867,5.3271
2023,3144672,Nova Belém,97,4.7613
2023,3138625,Limeira do Oeste,200,5.2096
2023,3146404,Paineiras,101,5.0784
2023,3144805,Nova Lima,2093,5.316
2023,3170057,Ubaporanga,431,4.8823
2023,3144656,Ninheira,281,4.5212
2023,3164803,São Sebastião do Rio Preto,59,4.6863
2023,3160801,São Bento Abade,184,4.9989
2023,3145604,Oliveira,906,5.1381
2023,3146701,Palma,119,4.6417
2023,3144904,Nova Módica,114,4.5902
2023,3137700,Lajinha,491,4.8317
2023,3160603,Santo Hipólito,72,4.54
2023,3139904,Maria da Fé,371,5.0536
2023,3157658,Santa Helena de Minas,177,4.5303
2023,3147907,Passos,2911,5.3263
2023,3139003,Machado,920,5.2385
2023,3146750,Palmópolis,181,4.2828
2023,3138609,Lima Duarte,464,4.9017
2023,3139706,Maravilhas,239,4.819
2023,3146602,Paiva,47,5.3219
2023,3142908,Monte Azul,520,4.7177
2023,3160504,Santo Antônio do Rio Abaixo,81,4.805
2023,3153004,Pratinha,116,5.3301
2023,3138500,Liberdade,145,4.8392
2023,3139607,Mantena,692,4.857
2023,3170404,Unaí,2270,5.1373
2023,3160454,Santo Antônio do Retiro,266,4.5011
2023,3145406,Olaria,56,5.0557
2023,3161056,São Félix de Minas,97,4.7683
2023,3143153,Monte Formoso,148,3.9464
2023,3148004,Patos de Minas,3534,5.3506
2023,3146552,Pai Pedro,244,4.2895
2023,3170701,Varginha,2599,5.3722
2023,3153608,Prudente de Morais,324,5.0148
2023,3155207,Rio Espera,106,4.7448
2023,3152501,Pouso Alegre,3607,5.3297
2023,3171071,Veredinha,189,4.6736
2023,3170529,Urucuia,361,4.5298
2023,3170503,Urucânia,267,4.8875
2023,3155405,Rio Novo,181,4.9737
2023,3171709,Virgínia,264,4.9917
