ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3122108,Divino das Laranjeiras,102,5.0039
2023,3122009,Divino,528,4.7064
2023,3121902,Divinésia,123,5.026
2023,3121803,Dionísio,160,4.9984
2023,3121704,Diogo de Vasconcelos,106,4.6926
2023,3121605,Diamantina,1383,4.9603
2023,3121506,Desterro do Melo,96,5.0663
2023,3121308,Descoberto,133,5.1546
2023,3121258,Delta,338,5.0466
2023,3121209,Delfinópolis,275,5.1931
2023,3121100,Delfim Moreira,199,5.0437
2023,3121001,Datas,227,4.7799
2023,3120904,Curvelo,2409,4.9651
2023,3120870,Curral de Dentro,299,4.6747
2023,3120839,Cuparaque,116,5.0265
2023,3120805,Cruzília,406,5.0913
2023,3120706,Cruzeiro da Fortaleza,177,5.1826
2023,3120607,Crucilândia,154,5.1915
2023,3120409,Cristiano Otoni,149,5.2865
2023,3120300,Cristália,186,4.5486
2023,3120201,Cristais,292,5.1082
2023,3120151,Crisólita,147,4.4034
2023,3120102,Couto de Magalhães de Minas,141,4.7261
2023,3120003,Córrego Novo,112,4.8593
2023,3119955,Córrego Fundo,150,5.1939
2023,3119807,Córrego Danta,71,4.9755
2023,3119708,Coronel Xavier Chaves,115,5.3506
2023,3119609,Coronel Pacheco,68,5.0677
2023,3119500,Coronel Murta,268,4.443
2023,3119401,Coronel Fabriciano,2243,5.1445
2023,3119302,Coromandel,861,5.2258
2023,3119203,Coroaci,206,4.8823
2023,3119104,Corinto,612,4.8285
2023,3119005,Cordislândia,97,5.1711
2023,3118908,Cordisburgo,221,4.8748
2023,3118809,Coração de Jesus,710,4.5337
2023,3118700,Coqueiral,229,5.0856
2023,3118601,Contagem,13407,5.2725
2023,3118502,Consolação,42,4.9814
2023,3118403,Conselheiro Pena,476,4.9285
2023,3118304,Conselheiro Lafaiete,3307,5.4229
2023,3118106,Congonhas do Norte,159,4.4468
2023,3118007,Congonhas,1494,5.26
2023,3117900,Congonhal,278,5.1246
2023,3117836,Cônego Marinho,218,4.379
2023,3117405,Conceição de Ipanema,88,4.6306
2023,3117306,Conceição das Alagoas,825,5.0009
2023,3117207,Conceição das Pedras,76,5.0311
2023,3117108,Conceição da Aparecida,268,5.1589
2023,3117009,Comercinho,174,4.3909
2023,3116902,Comendador Gomes,119,5.0887
2023,3116803,Coluna,277,4.4912
2023,3116704,Coimbra,235,5.1281
2023,3116605,Cláudio,904,5.2256
2023,3116506,Claro dos Poções,217,4.6448
2023,3116407,Claraval,140,5.2806
2023,3116308,Cipotânea,158,4.7751
2023,3117504,Conceição do Mato Dentro,585,4.8873
2023,3117603,Conceição do Pará,151,5.2549
2023,3116209,Chiador,100,4.9711
2023,3117702,Conceição do Rio Verde,336,5.0568
2023,3116159,Chapada Gaúcha,462,4.571
2023,3117801,Conceição dos Ouros,344,5.214
2023,3117876,Confins,192,5.2116
2023,3116100,Chapada do Norte,286,4.3553
2023,3116001,Chalé,140,4.8065
2023,3115904,Chácara,98,5.1441
2023,3115805,Centralina,235,5.0819
2023,3115706,Central de Minas,162,4.8952
2023,3118205,Conquista,167,5.1987
2023,3115607,Cedro do Abaeté,27,5.0241
2023,3115508,Caxambu,440,5.0565
2023,3115474,Catuti,165,4.5066
2023,3115458,Catuji,312,4.4858
2023,3115409,Catas Altas da Noruega,116,4.6778
2023,3115359,Catas Altas,182,5.3446
2023,3115300,Cataguases,1350,5.0702
2023,3115201,Conceição da Barra de Minas,112,4.9492
2023,3115102,Cássia,412,5.2057
2023,3115003,Cascalho Rico,85,5.0448
2023,3114907,Casa Grande,66,5.1131
2023,3114808,Carvalhos,122,4.9464
2023,3114709,Carvalhópolis,116,5.3585
2023,3114600,Carrancas,130,5.103
2023,3114550,Carneirinho,200,5.2393
2023,3114501,Carmópolis de Minas,496,5.1132
2023,3114402,Carmo do Rio Claro,464,5.2185
2023,3114303,Carmo do Paranaíba,780,5.2349
2023,3114204,Carmo do Cajuru,639,5.2287
2023,3114105,Carmo de Minas,386,4.9357
2023,3114006,Carmo da Mata,246,4.9668
2023,3113909,Carmo da Cachoeira,320,4.9298
2023,3113800,Carmésia,84,4.8894
2023,3113701,Carlos Chagas,471,4.6134
2023,3119906,Córrego do Bom Jesus,179,5.4731
2023,3113602,Careaçu,224,5.2935
2023,3113503,Carbonita,296,4.9236
2023,3113404,Caratinga,2189,5.0076
2023,3120508,Cristina,223,5.0089
2023,3113305,Carangola,619,4.9039
2023,3113206,Carandaí,591,5.1031
2023,3113107,Caranaíba,77,4.7969
2023,3113008,Caraí,666,4.2461
2023,3112901,Caputira,277,4.7601
2023,3112802,Capitólio,293,5.3538
2023,3112703,Capitão Enéas,463,4.5705
2023,3112653,Capitão Andrade,94,4.9593
2023,3112604,Capinópolis,349,5.2268
2023,3112505,Capim Branco,265,5.0959
2023,3112406,Capetinga,183,5.1835
2023,3121407,Desterro de Entre Rios,214,5.2481
2023,3112307,Capelinha,1341,4.771
2023,3112208,Capela Nova,104,4.899
2023,3112109,Caparaó,158,4.8592
2023,3112059,Cantagalo,132,4.7228
2023,3112000,Candeias,304,5.1152
2023,3111903,Cana Verde,147,5.1928
2023,3111804,Canápolis,280,5.1253
2023,3111705,Canaã,150,4.7745
2023,3111606,Campos Gerais,673,4.929
2023,3111507,Campos Altos,372,5.2774
2023,3111408,Campo Florido,273,5.0965
2023,3122355,Divisa Alegre,231,4.7222
2023,3111309,Campo do Meio,332,5.0843
2023,3122405,Divisa Nova,167,4.9807
2023,3111200,Campo Belo,1269,5.2693
2023,3111150,Campo Azul,122,4.3909
2023,3122603,Dom Joaquim,137,4.7726
2023,3111101,Campina Verde,378,5.1121
2023,3122801,Dom Viçoso,86,5.1633
2023,3111002,Campestre,450,5.2723
2023,3110905,Campanha,381,4.9946
2023,3110806,Campanário,115,4.7785
2023,3110707,Cambuquira,312,5.0383
2023,3123304,Dores do Turvo,154,4.8372
2023,3110608,Cambuí,735,5.3493
2023,3110509,Camanducaia,563,5.143
2023,3110400,Camacho,83,5.1044
2023,3123700,Engenheiro Caldas,259,4.9797
2023,3110301,Caldas,326,5.2905
2023,3110202,Cajuri,96,5.0348
2023,3110103,Caiana,101,4.9823
2023,3110004,Caeté,1070,5.3405
2023,3124104,Esmeraldas,2192,5.1096
2023,3109907,Caetanópolis,296,5.1557
2023,3109808,Cachoeira Dourada,82,5.2287
2023,3109709,Cachoeira de Minas,333,5.3011
2023,3109600,Cachoeira da Prata,113,5.3258
2023,3109501,Cabo Verde,280,5.1142
2023,3124609,Estrela Dalva,78,4.8769
2023,3109451,Cabeceira Grande,240,4.9205
2023,3109402,Buritizeiro,715,4.7006
2023,3109303,Buritis,782,4.7933
2023,3109253,Bugre,106,5.0302
2023,3125408,Felício dos Santos,174,4.5504
2023,3109204,Buenópolis,286,4.6799
2023,3109105,Bueno Brandão,269,5.1756
2023,3109006,Brumadinho,903,5.4509
2023,3108909,Brazópolis,413,5.1065
2023,3108800,Braúnas,100,4.7627
2023,3108701,Brás Pires,131,4.7458
2023,3108602,Brasília de Minas,1033,4.5976
2023,3108552,Brasilândia de Minas,588,4.8983
2023,3126406,Fortuna de Minas,111,4.9963
2023,3108503,Botumirim,224,4.2872
2023,3108404,Botelhos,413,5.1969
2023,3108305,Borda da Mata,365,5.2399
2023,3108255,Bonito de Minas,270,4.2526
2023,3108206,Bonfinópolis de Minas,161,5.0304
2023,3108107,Bonfim,169,5.0605
2023,3108008,Bom Sucesso,434,4.872
2023,3107901,Bom Repouso,375,5.2067
2023,3127057,Fronteira dos Vales,143,4.6055
2023,3127073,Fruta de Leite,172,4.1082
2023,3107802,Bom Jesus do Galho,407,4.8865
